Interaction,Gain,FScore,wFScore,Average wFScore,Average Gain,Expected Gain,Gain Rank,FScore Rank,wFScore Rank,Avg wFScore Rank,Avg Gain Rank,Expected Gain Rank,Average Rank,Average Tree Index,Average Tree Depth
phoS4Full5x5,361603694617.098,3136,312.819126531787,0.099750996980799,115307300.579432,343406803254.153,1,12,8,7,1,1,5.00,441.50,4.04
phoR9Full5x5,207318655293.72,3891,522.85971676159,0.134376694104752,53281587.071118,180561260874.873,2,6,3,3,2,2,3.00,470.62,3.83
phoSigmaIPhiIPhi,112910868378.804,3875,464.194470333302,0.119792121376336,29138288.6138848,93014089660.7308,3,7,5,4,3,3,4.17,470.03,4.01
phoE2x5OESCrFull5x5,100700680894.396,4818,670.577819310728,0.139181780678856,20900930.0320457,70158555371.9502,4,2,2,2,4,4,3.00,459.43,3.88
phoE5x5OESCrFull5x5,57067111277.0994,5660,880.998362171166,0.155653420878298,10082528.4941872,7449292608.54485,5,1,1,1,6,8,3.67,412.77,3.81
phoPhiWidth,38239171819.9933,3445,309.054275928313,0.089710965436375,11099904.7372985,25630264934.7386,6,10,9,8,5,5,7.17,498.41,4.11
phoSigmaIEtaIEta,32750359091.2333,4452,480.135465009211,0.10784713948994,7356325.04295448,7901725287.53981,7,4,4,6,7,7,5.83,443.46,3.99
phoE1x3OESCrFull5x5,28694885297.1603,4132,333.361219453143,0.080677933071913,6944551.13677646,12526481309.7108,8,5,7,9,8,6,7.17,498.04,4.16
phoEtaWidth,17666749821.577,4475,346.502609629496,0.077430750755195,3947877.055101,3808029426.52886,9,3,6,10,10,9,7.83,482.67,4.12
pho2x2OE3x3Full5x5,10259353940.8374,3232,201.253081187518,0.062268898882277,3174305.05595215,818619500.825403,10,11,11,14,11,13,11.67,484.15,4.20
phoSieieOSipipFull5x5,10252852752.2853,3475,200.140825316636,0.057594482105507,2950461.22367923,1134769525.33654,11,9,12,15,12,12,11.83,488.22,4.30
phoEmaxOESCrFull5x5,8050129189.75719,1931,131.800923959268,0.068255268751563,4168891.34632687,2279975643.66011,12,15,15,13,9,10,12.33,496.11,4.25
phoEmaxOE3x3Full5x5,5971660326.55083,2210,123.979972950785,0.056099535271848,2702108.74504563,1508678155.93698,13,14,16,16,13,11,13.83,496.16,4.27
phoSigmaIEtaIPhi,4647464015.42213,3872,294.216927077493,0.075985776621254,1200274.79737142,752939507.291948,14,8,10,11,15,14,12.00,509.90,4.23
phoEtaWOPhiWFull5x5,4596821937.55872,3040,167.389156848074,0.055062222647393,1512112.4794601,264426850.14655,15,13,14,17,14,15,14.67,504.11,4.32
phoE2ndOESCrFull5x5,1560646136.43181,1503,170.991813660982,0.113767008423807,1038354.04952216,182123490.595461,16,16,13,5,16,16,13.67,549.34,4.18
phoE2ndOE3x3Full5x5,1190942592.58717,1362,100.054188301832,0.073461224891213,874407.189858421,99738671.0991655,17,17,17,12,18,17,16.33,554.19,4.31
phoE2ndOEmaxFull5x5,1167172231.38322,1191,61.6633407091176,0.051774425448462,979993.477231923,54184136.5887825,18,18,18,18,17,18,17.83,548.74,4.33
